email_id,date,age,gender,content_type_primary,usage_time_10_2,num_sessions_night,max_continuous_usage,reels_usage_time,phone_pickups_after_10,lose_track_of_time,cannot_stop_scrolling,unplanned_usage,sleep_time,wake_up_time,daily_stress_level,overthinking_at_night,sleep_latency,night_awakenings,sleep_quality,insomnia_label
priyashah768@gmail.com,2026-03-15,18,female,Educational/Entertainment,01:01,12,00:38,00:25,25,1,1,1,23:47,06:29,3,1,00:08,0,4,0
karangupta@gmail.com,2026-03-15,20,female,Educational,02:39,11,01:32,00:53,16,5,1,1,22:02,06:53,3,3,00:45,2,2,1
vikasshah871@gmail.com,2026-03-15,21,female,Entertainment,02:40,10,00:37,00:34,5,2,4,4,00:44,07:45,5,5,00:57,2,2,1
karanreddy6@gmail.com,2026-03-15,24,male,Entertainment,02:51,15,02:39,02:00,17,4,4,4,23:33,05:49,4,5,00:59,4,2,1
vikassharma@gmail.com,2026-03-15,30,male,Motivational,00:35,13,00:11,00:11,22,1,4,3,23:54,06:18,2,1,00:13,0,5,0
anjalisolanki@gmail.com,2026-03-15,20,male,Entertainment,02:54,7,01:38,00:35,25,1,3,3,02:47,09:12,4,3,00:53,3,2,1
adityasharma1@gmail.com,2026-03-15,45,female,Emotional/Drama,01:08,15,00:05,00:05,25,2,3,4,00:39,07:55,3,2,00:05,0,4,0
anjalisolanki@gmail.com,2026-03-15,55,female,Mixed,01:39,6,01:13,00:27,7,5,3,1,00:52,06:09,1,1,00:09,0,3,0
karandesai@gmail.com,2026-03-15,30,male,Motivational,02:25,8,02:13,01:48,6,1,2,3,23:53,05:50,4,5,00:50,2,2,1
kavitashaikh993@gmail.com,2026-03-15,50,male,Emotional/Drama,01:30,7,00:48,00:38,22,4,2,3,00:48,07:35,1,1,00:13,1,4,0
nehashaikh@gmail.com,2026-03-15,40,male,Motivational,02:15,13,00:06,00:05,20,5,2,2,22:44,09:38,3,4,00:58,2,1,1
anjalireddy@gmail.com,2026-03-15,19,female,Educational,02:30,10,01:48,00:45,18,2,1,2,22:11,07:20,5,5,00:44,3,2,1
anjalishah911@gmail.com,2026-03-15,35,female,Entertainment,01:19,13,01:01,00:49,12,4,4,5,02:42,06:11,3,1,00:20,0,5,0
amitprasad@gmail.com,2026-03-15,23,male,Educational,01:18,4,00:16,00:09,25,4,3,5,00:19,07:01,3,1,00:05,0,3,0
poojajoshi@gmail.com,2026-03-15,22,female,Entertainment,00:27,15,00:10,00:07,4,3,1,3,00:31,05:37,1,3,00:12,1,5,0
arjunsingh@gmail.com,2026-03-15,22,female,Educational,01:01,13,00:44,00:16,9,1,1,1,22:58,05:45,2,2,00:19,1,4,0
priyasoni9@gmail.com,2026-03-15,55,female,Emotional/Drama,01:49,6,00:18,00:10,4,3,2,2,23:49,05:00,3,3,00:22,1,4,0
adityapatil@gmail.com,2026-03-15,35,male,Motivational,00:58,2,00:11,00:07,17,5,3,2,22:02,08:06,2,3,00:21,1,3,0
nehapatil@gmail.com,2026-03-15,30,female,Motivational,01:45,5,01:26,01:26,25,4,3,5,01:12,08:41,3,1,00:13,0,4,1
snehasharma5@gmail.com,2026-03-15,25,female,Educational,00:36,15,00:19,00:07,13,4,3,3,23:06,08:11,1,1,00:12,1,3,0
vikassingh474@gmail.com,2026-03-15,45,female,Emotional/Drama,02:38,2,01:12,00:58,13,5,4,1,23:09,09:16,4,4,00:31,4,1,1
vikaspatel2@gmail.com,2026-03-15,20,male,Entertainment,00:47,9,00:14,00:13,4,1,3,5,23:03,07:51,2,2,00:09,0,5,0
anjalipatel9@gmail.com,2026-03-15,23,male,Educational,02:41,8,00:55,00:18,24,2,3,2,01:39,06:03,4,4,00:46,3,2,1
rahulprasad3@gmail.com,2026-03-15,45,female,Emotional/Drama,02:19,4,01:58,01:31,13,5,3,1,01:27,05:13,4,3,00:57,3,1,1
vikassingh@gmail.com,2026-03-15,19,male,Educational,01:49,11,01:09,01:05,24,2,1,1,00:06,08:02,1,2,00:23,1,5,0
vikasmehta965@gmail.com,2026-03-15,30,female,Entertainment,00:45,4,00:17,00:10,7,1,2,3,01:57,07:10,1,1,00:07,0,4,1
amitgupta558@gmail.com,2026-03-15,24,male,Entertainment,01:15,7,00:44,00:12,3,4,5,4,23:51,09:12,3,2,00:12,1,3,0
tanvijoshi997@gmail.com,2026-03-15,25,female,Entertainment,00:21,8,00:08,00:06,5,2,4,2,01:56,05:39,3,3,00:13,0,4,0
anjaliprasad@gmail.com,2026-03-15,24,female,Educational,01:52,15,01:32,00:59,8,4,5,5,23:34,05:13,1,3,00:24,0,5,0
adityashah3@gmail.com,2026-03-15,23,male,Educational,00:37,8,00:06,00:05,14,3,4,4,02:21,05:50,2,3,00:22,1,4,0
karanshaikh@gmail.com,2026-03-15,25,male,Educational,01:59,9,00:24,00:22,24,4,2,2,02:28,07:14,3,1,00:16,1,5,0
priyagupta659@gmail.com,2026-03-15,50,male,Emotional/Drama,02:23,6,01:31,00:49,14,3,1,5,00:12,09:16,5,4,01:00,2,2,0
rohitpatel85@gmail.com,2026-03-15,18,male,Entertainment,02:14,5,01:15,00:44,6,1,5,4,23:53,06:45,3,3,00:38,2,2,0
karanpatel@gmail.com,2026-03-15,40,male,Mixed,01:23,5,00:37,00:10,9,4,5,2,22:20,06:21,2,2,00:16,0,3,0
rahulsharma1@gmail.com,2026-03-15,23,male,Entertainment,01:10,9,00:27,00:26,6,4,2,2,02:42,05:38,1,3,00:16,0,5,0
kavitapatel9@gmail.com,2026-03-15,35,female,Motivational,02:55,10,02:19,00:41,11,5,5,5,01:56,08:30,4,3,00:33,2,2,0
priyagupta9@gmail.com,2026-03-15,23,male,Educational/Entertainment,02:47,4,00:16,00:07,23,4,3,1,01:31,07:51,4,5,00:50,3,2,1
adityagupta5@gmail.com,2026-03-15,21,female,Educational,00:36,13,00:07,00:07,6,2,3,5,02:33,08:19,1,1,00:15,0,4,0
vikasdesai@gmail.com,2026-03-15,50,female,Motivational,01:39,11,00:26,00:06,23,2,3,2,00:26,09:02,3,2,00:17,1,3,0
kavitadesai@gmail.com,2026-03-15,19,female,Educational,00:45,8,00:10,00:06,19,5,1,2,02:28,06:10,1,2,00:11,1,3,0
rahulsingh749@gmail.com,2026-03-15,22,male,Entertainment,02:32,4,00:34,00:22,16,2,5,1,02:26,08:28,4,4,00:33,4,1,1
nehasharma3@gmail.com,2026-03-15,50,male,Emotional/Drama,01:22,4,00:17,00:14,9,3,5,4,00:11,09:20,2,1,00:18,0,5,0
adityareddy369@gmail.com,2026-03-15,50,female,Motivational,00:24,13,00:12,00:11,23,4,4,2,22:34,08:17,2,3,00:15,0,4,0
priyapatel@gmail.com,2026-03-15,45,male,Motivational,02:35,3,01:40,01:25,15,5,4,2,23:37,07:26,4,4,00:58,2,1,1
karanshah@gmail.com,2026-03-15,22,male,Educational/Entertainment,02:44,7,02:25,02:03,10,5,1,3,01:38,07:39,5,4,00:58,4,2,1
tanvipatil4@gmail.com,2026-03-15,20,female,Entertainment,02:23,15,00:37,00:12,20,4,3,1,02:16,06:53,3,5,00:39,3,2,1
poojadesai6@gmail.com,2026-03-15,18,female,Educational,02:32,5,01:24,01:18,4,3,2,5,01:44,08:05,4,5,00:36,3,2,1
anjalireddy@gmail.com,2026-03-15,35,female,Mixed,02:08,4,00:51,00:40,7,1,1,3,01:07,08:47,4,4,00:35,3,2,1
nehapatel3@gmail.com,2026-03-15,20,female,Educational,01:48,8,01:01,00:44,22,1,5,4,00:40,09:17,2,2,00:08,0,4,0
karanshaikh@gmail.com,2026-03-15,55,female,Emotional/Drama,01:56,13,00:30,00:30,7,4,2,5,23:32,09:31,3,2,00:08,1,3,1
priyaprasad@gmail.com,2026-03-15,25,female,Educational,02:06,14,00:08,00:08,6,4,5,2,02:46,07:36,4,4,00:31,4,1,1
kavitareddy8@gmail.com,2026-03-15,22,female,Educational,01:17,8,01:00,00:28,18,1,1,2,00:32,05:10,3,2,00:09,0,3,0
tanvishah9@gmail.com,2026-03-15,22,male,Entertainment,00:23,8,00:08,00:06,9,1,1,3,02:44,08:29,3,1,00:19,0,5,0
anjalireddy718@gmail.com,2026-03-15,50,female,Emotional/Drama,01:58,8,01:04,00:16,5,2,1,3,22:53,06:01,3,3,00:15,0,3,0
vikasdesai1@gmail.com,2026-03-15,22,female,Educational/Entertainment,02:48,4,00:34,00:18,14,4,5,1,00:08,08:26,3,4,00:56,4,1,1
rohitsharma@gmail.com,2026-03-15,24,female,Entertainment,02:08,12,01:03,00:25,3,2,2,2,02:20,08:20,4,3,00:35,3,2,1
karanpatel@gmail.com,2026-03-15,45,female,Mixed,02:45,2,01:40,01:20,14,3,1,1,02:06,07:42,5,5,00:36,3,2,1
karanjoshi7@gmail.com,2026-03-15,23,male,Entertainment,01:15,6,00:34,00:21,14,1,3,4,02:50,05:15,1,1,00:25,1,4,0
karansharma@gmail.com,2026-03-15,55,male,Motivational,01:51,6,00:32,00:13,23,4,2,3,00:00,07:26,3,1,00:25,1,5,0
priyasingh4@gmail.com,2026-03-15,18,male,Entertainment,02:49,10,01:41,00:48,16,4,3,1,01:32,09:27,4,3,00:47,4,1,1
nehapatel4@gmail.com,2026-03-15,30,female,Mixed,02:02,3,01:28,00:16,20,4,4,2,23:35,06:06,5,5,00:34,3,2,1
anjalisoni146@gmail.com,2026-03-15,21,male,Educational/Entertainment,01:26,10,01:08,00:27,14,2,3,1,01:57,09:10,3,3,00:06,0,3,0
amitshah8@gmail.com,2026-03-15,23,male,Entertainment,00:28,8,00:09,00:07,14,2,1,3,23:13,08:52,2,3,00:23,1,4,0
anjalipatel4@gmail.com,2026-03-15,18,male,Entertainment,00:35,4,00:09,00:08,18,1,2,4,01:29,07:31,1,2,00:16,1,5,0
